#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.80e+00    5.26e+00      1.74e-02    5.35e-04      5.69e-02    1.66e-01    1.0e-04
    200      1.01e+01    5.73e+00      1.35e-01    9.89e-02      3.21e-01    1.81e-01    1.0e-04
    400      2.35e+00    4.68e+00      3.15e-02    7.58e-02      7.44e-02    1.48e-01    1.0e-04
    600      1.55e+00    9.46e+00      3.04e-01    3.64e-01      4.75e-02    2.98e-01    1.0e-04
    800      5.94e+00    6.92e+00      2.76e-01    1.49e-01      1.87e-01    2.18e-01    1.0e-04
   1000      7.94e+00    7.01e+00      1.08e-01    1.52e-01      2.51e-01    2.22e-01    1.0e-04
   1200      7.21e+00    8.20e+00      1.30e+00    1.31e+00      2.07e-01    2.41e-01    1.0e-04
   1400      2.00e+00    2.68e+00      2.56e-02    8.77e-02      6.33e-02    8.45e-02    1.0e-04
   1600      1.56e+00    7.77e+00      4.43e-02    4.24e-02      4.95e-02    2.46e-01    1.0e-04
   1800      4.45e+00    7.24e+00      7.18e-02    8.83e-02      1.41e-01    2.29e-01    1.0e-04
   2000      7.52e+00    5.91e+00      6.98e-02    6.13e-02      2.38e-01    1.87e-01    1.0e-04
   2200      6.42e+00    5.17e+00      1.14e-01    4.82e-03      2.03e-01    1.64e-01    1.0e-04
   2400      5.99e+00    6.11e+00      1.08e-01    6.05e-02      1.89e-01    1.93e-01    1.0e-04
   2600      4.90e+00    4.92e+00      2.39e-02    1.40e-01      1.55e-01    1.55e-01    1.0e-04
   2800      8.05e+00    5.93e+00      8.89e-01    2.22e-01      2.46e-01    1.86e-01    1.0e-04
   3000      5.81e+00    5.26e+00      7.31e-01    4.05e-01      1.76e-01    1.64e-01    1.0e-04
   3200      4.72e+00    6.40e+00      7.07e-01    5.57e-01      1.40e-01    1.98e-01    1.0e-04
   3400      1.43e+00    6.65e+00      3.32e-01    9.70e-02      4.34e-02    2.10e-01    1.0e-04
   3600      1.32e+00    6.14e+00      2.77e-01    8.38e-02      4.03e-02    1.94e-01    1.0e-04
   3800      3.62e+00    8.11e+00      1.20e-03    6.76e-03      1.14e-01    2.56e-01    1.0e-04
   4000      1.89e+00    5.00e+00      7.23e-02    3.66e-03      5.97e-02    1.58e-01    1.0e-04
   4200      9.41e+00    4.31e+00      2.80e-01    1.52e-01      2.96e-01    1.36e-01    1.0e-04
   4400      6.47e+00    5.45e+00      7.87e-02    4.56e-02      2.04e-01    1.72e-01    1.0e-04
   4600      3.07e+00    5.73e+00      2.27e-02    7.61e-03      9.71e-02    1.81e-01    1.0e-04
   4800      4.66e+00    4.69e+00      8.41e-02    2.10e-02      1.47e-01    1.48e-01    1.0e-04
   5000      1.27e+00    5.23e+00      8.53e-03    1.12e-01      4.18e-02    1.72e-01    9.2e-05
   5200      2.04e+00    8.73e+00      3.43e-01    7.89e-02      6.44e-02    2.87e-01    9.2e-05
   5400      1.58e+01    2.86e+00      4.21e-01    2.06e-02      5.17e-01    9.40e-02    9.2e-05
   5600      1.10e+00    4.37e+00      9.48e-02    6.50e-02      3.57e-02    1.44e-01    9.2e-05
   5800      5.25e+00    6.64e+00      7.33e-02    2.75e-02      1.73e-01    2.18e-01    9.2e-05
   6000      4.92e+00    6.34e+00      1.73e-01    2.35e-01      1.61e-01    2.07e-01    9.2e-05
   6200      3.76e+00    3.39e+00      4.51e-02    9.35e-02      1.23e-01    1.11e-01    9.2e-05
   6400      1.59e+00    4.30e+00      9.02e-02    2.52e-01      5.20e-02    1.36e-01    9.2e-05
