Zbl_tab对比
Distence（0.3）		Zbl		 DPA2
V-V		3869.2213399663797	 	3865.69141414312
V-Nb		6244.733558782127	 	5046.46091668979
W-W		26444.341291428842	 	10056.0504641334
Ta-Ta		25869.86328894601	 	9949.51063224424
Mo-W		16649.834858389724		8207.11608185744
V-Mo		6264.763986588714		5107.93655686231
V-Ta		9788.032254522175		6903.60102319368
V-W		9894.74908194005		6956.87093913826
Nb-Nb		9932.353296924863		6235.23041923645
Nb-Mo		10130.930309529274		6296.70605940897
Nb-Ta		15866.342426466932		8092.37052574034
Nb-W		16040.306503684234		8145.64044168492
Mo-Mo		10333.522464360169		6358.18169958149
Mo-Ta		16185.307239770236		8153.84616591286
Ta-W		25693.947979366363		10002.780548188
